Districts,Rural/ Urban/ Total,Type of Poultry farms-Layer Farms, Type of Poultry farms-Broiler farms, Type of Poultry farms-Duck and other Poultry , Type of Poultry farms-Total, Number of Poultry Birds in farms-Layer,Number of Poultry Birds in farms-Broiler,Number of Poultry Birds in farms-Ducks, Number of Poultry Birds in farms-Others, Total
ADILABAD,Rural,0,30,0,30,2000,320946,14,14,322974
ADILABAD,Urban,9,8,0,17,916,11000,0,0,11916
ADILABAD,Total,9,38,0,47,2916,331946,14,14,334890
NIZAMABAD,Rural,0,98,0,98,338161,155727,5000,0,498888
NIZAMABAD,Urban,0,0,0,0,0,0,0,0,0
NIZAMABAD,Total,0,98,0,98,338161,155727,5000,0,498888
KARIMNAGAR,Rural,11,263,0,274,1661600,788725,1252,0,2451577
KARIMNAGAR,Urban,5,4,0,9,0,20000,0,0,20000
KARIMNAGAR,Total,16,267,0,283,1661600,808725,1252,0,2471577
MEDAK,Rural,223,892,0,1115,2660131,4706745,1229,26229,7394334
MEDAK,Urban,5,4,0,9,0,5000,0,0,5000
MEDAK,Total,228,896,0,1124,2660131,4711745,1229,26229,7399334
HYDERABAD,Rural,0,0,0,0,0,0,0,0,0
HYDERABAD,Urban,0,0,0,0,0,0,0,0,0
HYDERABAD,Total,0,0,0,0,0,0,0,0,0
RANGAREDDI,Rural,109,436,0,545,10426671,2708702,10000,3160,13148533
RANGAREDDI,Urban,15,12,0,27,169000,500,0,0,169500
RANGAREDDI,Total,124,448,0,572,10595671,2709202,10000,3160,13318033
MAHBUBNAGAR,Rural,112,448,0,560,1739733,2211876,9000,0,3960609
MAHBUBNAGAR,Urban,0,0,0,0,0,0,0,0,0
MAHBUBNAGAR,Total,112,448,0,560,1739733,2211876,9000,0,3960609
NALGONDA,Rural,69,276,0,345,1928216,1277304,238114,603,3444237
NALGONDA,Urban,10,8,0,18,600,4700,0,0,5300
NALGONDA,Total,79,284,0,363,1928816,1282004,238114,603,3449537
WARANGAL,Rural,43,172,0,215,1042426,197119,2,0,1239547
WARANGAL,Urban,5,4,0,9,35000,0,0,0,35000
WARANGAL,Total,48,176,0,224,1077426,197119,2,0,1274547
KHAMMAM,Rural,21,84,0,105,86099,30442,20061,209,136811
KHAMMAM,Urban,5,4,0,9,184,243,0,0,427
KHAMMAM,Total,26,88,0,114,86283,30685,20061,209,137238
SRIKAKULUM,Rural,181,724,0,905,59549,675797,33,33,735412
SRIKAKULUM,Urban,0,0,0,0,0,0,0,0,0
SRIKAKULUM,Total,181,724,0,905,59549,675797,33,33,735412
VIZIANAGARAM,Rural,33,132,0,165,157809,375764,51750,1450,586773
VIZIANAGARAM,Urban,0,0,0,0,0,0,0,0,0
VIZIANAGARAM,Total,33,132,0,165,157809,375764,51750,1450,586773
VISHAKHAPATNAM,Rural,64,256,0,320,1853010,2569805,155,6155,4429125
VISHAKHAPATNAM,Urban,20,16,0,36,117877,39530,0,0,157407
VISHAKHAPATNAM,Total,84,272,0,356,1970887,2609335,155,6155,4586532
EAST GODAVARI,Rural,109,436,0,545,12363416,2859367,86000,0,15308783
EAST GODAVARI,Urban,25,20,0,45,609102,47540,0,0,656642
EAST GODAVARI,Total,134,456,0,590,12972518,2906907,86000,0,15965425
WEST GODAVARI,Rural,160,640,0,800,5726921,1723957,14255,10055,7475188
WEST GODAVARI,Urban,15,12,0,27,84000,18200,0,0,102200
WEST GODAVARI,Total,175,652,0,827,5810921,1742157,14255,10055,7577388
KRISHNA,Rural,178,712,0,890,3083176,1387637,10024,5002,4485839
KRISHNA,Urban,10,8,0,18,33500,12800,0,0,46300
KRISHNA,Total,188,720,0,908,3116676,1400437,10024,5002,4532139
GUNTUR,Rural,87,348,0,435,3530084,943796,11650,3150,4488680
GUNTUR,Urban,25,17,3,45,1500,37333,0,0,38833
GUNTUR,Total,112,365,3,480,3531584,981129,11650,3150,4527513
PRAKASHAM,Rural,40,160,0,200,136030,151462,922,1588,290002
PRAKASHAM,Urban,10,6,2,18,500,2500,21,0,3021
PRAKASHAM,Total,50,166,2,218,136530,153962,943,1588,293023
NELLORE,Rural,26,104,0,130,1063321,21409,0,33,1084763
NELLORE,Urban,0,0,0,0,0,0,0,0,0
NELLORE,Total,26,104,0,130,1063321,21409,0,33,1084763
KADAPA,Rural,9,36,0,45,136400,69900,0,0,206300
KADAPA,Urban,15,9,1,25,1200,5650,1000,0,7850
KADAPA,Total,24,45,1,70,137600,75550,1000,0,214150
KURNOOL,Rural,14,56,0,70,85030,96815,30,30,181905
KURNOOL,Urban,5,3,0,8,0,1000,0,0,1000
KURNOOL,Total,19,59,0,78,85030,97815,30,30,182905
ANANTHAPUR,Rural,17,68,0,85,268600,143802,0,0,412402
ANANTHAPUR,Urban,10,6,0,16,15100,22091,0,0,37191
ANANTHAPUR,Total,27,74,0,101,283700,165893,0,0,449593
CHITTOOR,Rural,358,1044,119,1521,2870774,9060125,1155,1219,11933273
CHITTOOR,Urban,10,6,0,16,405024,196500,0,0,601524
CHITTOOR,Total,368,1050,119,1537,3275798,9256625,1155,1219,12534797
State Total,Rural,1864,7415,119,9398,51219157,32477222,460646,58930,84215955
State Total,Urban,199,147,6,352,1473503,424587,1021,0,1899111
State Total,Total,2063,7562,125,9750,52692660,32901809,461667,58930,86115066
